1,0,0,0;1,-1,0,-1;-1,1,-1,-1;0,0,0,-1;-1,-1,-1,0
1,0,0,0;1,-1,0,-1;1,-1,0,-1;1,-1,1,-1;-1,1,1,1
1,0,0,0;1,-1,2,-1;-2,2,-2,0;-2,1,2,2;-1,2,2,0
1,0,0,0;1,-1,3,1;1,3,-1,-1;-1,1,2,2;1,2,1,-2
1,0,0,0;1,-2,-1,2;0,-1,1,-1;2,2,1,1;2,-2,-1,1
1,0,0,0;1,-2,1,2;0,1,1,-2;0,-2,-1,0;-2,3,-1,2
1,0,0,0;1,-2,5,-4;2,-2,-5,3;1,3,2,-3;-1,0,-1,1
1,0,0,0;1,-3,0,3;3,2,-1,3;-3,3,0,3;-3,0,1,2
1,0,0,0;1,0,-1,1;0,-1,-1,0;-1,1,0,-1;-1,-1,0,0
1,0,0,0;1,1,-1,0;1,-1,0,-1;-1,1,-1,0;1,1,0,0
1,0,0,0;1,1,-1,1;-1,0,0,-1;-1,0,-1,-1;-1,1,-1,0
1,0,0,0;1,1,0,-1;-2,2,-2,1;-1,-1,2,-2;-2,2,1,1
1,0,0,0;1,1,1,0;2,1,2,0;0,2,0,1;0,2,0,0
1,0,0,0;1,1,2,0;1,-1,2,0;-2,-2,-1,-1;1,1,0,0
1,0,0,0;1,18,10,6;3,-14,-4,5;2,5,-3,-17;6,4,12,-2
1,0,0,0;1,18,14,9;5,-18,-6,3;6,4,-5,-14;9,5,10,0
1,0,0,0;1,19,13,9;3,-16,-6,5;4,3,-4,-14;6,3,13,-2
1,0,0,0;1,19,14,6;2,-18,-3,5;3,6,-2,-17;9,4,11,2
1,0,0,0;1,2,2,-2;1,-2,-1,-2;2,1,1,1;0,-1,1,1
1,0,0,0;1,2,2,2;0,1,0,-1;-2,-2,-1,-1;1,-2,0,2
1,0,0,0;1,20,12,6;6,-18,-2,2;5,3,-6,-16;6,4,10,2
1,0,0,0;1,21,12,6;3,-16,-2,2;5,4,-3,-17;10,3,14,2
1,0,0,0;1,3,-1,0;1,3,5,-4;-1,-2,-2,1;-4,0,-1,-1
1,0,0,0;1,3,0,0;2,0,4,0;5,0,6,0;6,0,6,0
1,0,0,0;1,3,1,0;3,-1,0,0;-1,2,1,3;-3,0,3,-2
1,0,0,0;1,4,2,2;1,-5,1,0;-1,-1,-3,-4;0,2,5,1
1,0,0,0;1,4,3,1;3,-6,-1,2;0,2,1,-4;4,1,1,1
1,0,0,0;1,4,3,4;1,-2,-3,0;-1,-1,-1,-6;0,0,3,1
1,0,0,0;1,6,1,1;1,-6,-1,3;3,0,-1,-3;2,1,2,-2
1,0,0,0;1,78,47,31;18,-66,-16,18;15,14,-16,-62;31,18,49,0
1,0,0,0;1,78,50,31;18,-64,-17,14;16,15,-16,-63;34,18,49,1
1,0,0,0;1,79,49,31;15,-65,-17,16;17,17,-17,-64;31,15,50,0
1,0,0,0;1,79,49,32;16,-66,-17,15;15,15,-14,-62;32,14,47,-1
1,0,0,0;1,80,46,30;16,-62,-18,14;17,16,-14,-66;31,14,49,0
1,0,0,0;1,80,48,31;16,-63,-18,15;16,14,-14,-64;34,16,50,0
1,0,0,0;1,80,48,31;18,-64,-14,16;15,14,-14,-66;34,14,48,-2
1,0,0,0;12,-1,-53,-49;-20,3,21,1;-53,22,-42,-57;-25,8,-4,-54
1,0,0,0;12,-27,60,3;21,58,2,-32;-11,31,-15,-55;-58,53,-40,3
1,0,0,0;14,-9,-40,29;-17,-24,21,-48;21,27,-60,-16;1,11,-46,3
1,0,0,0;14,18,-7,-6;9,15,-2,-28;-18,56,2,-31;26,59,19,49
1,0,0,0;19,23,-44,35;33,25,-53,-5;51,-8,38,-10;40,36,51,-60
1,0,0,0;2,-1,3,-2;-2,-2,1,2;-2,2,-3,2;-3,-3,-1,-1
1,0,0,0;2,-2,-1,1;-2,-2,0,0;0,0,2,2;2,1,2,2
1,0,0,0;2,0,0,-2;5,0,-3,0;5,0,0,1;1,0,-3,0
1,0,0,0;2,0,0,-6;4,3,0,0;1,0,0,5;5,0,5,0
1,0,0,0;2,0,0,1;2,0,0,0;1,0,-3,0;3,0,-3,0
1,0,0,0;2,0,2,1;-1,1,2,-2;2,-2,2,1;-2,2,-2,2
1,0,0,0;2,1,-4,-3;-2,-1,-4,-2;-1,-3,-2,3;5,-1,-1,0
1,0,0,0;2,1,1,-4;4,-4,3,0;3,3,1,1;-5,0,-5,-1
