1,0,0,0;1,18,11,10;5,-17,-6,2;5,2,-5,-17
1,0,0,0;1,18,13,9;4,-16,-5,5;2,3,-6,-16
1,0,0,0;1,19,11,9;4,-14,-2,6;2,4,-6,-16
1,0,0,0;1,2,-1,1;2,2,-2,0;2,-2,2,0
1,0,0,0;1,2,-5,-5;1,1,-2,3;5,-1,2,-5
1,0,0,0;1,2,1,-2;-2,1,2,-1;-2,2,-1,-2
1,0,0,0;1,20,10,8;2,-17,-2,4;4,2,-6,-16
1,0,0,0;1,20,12,9;5,-15,-4,6;3,3,-6,-17
1,0,0,0;1,20,14,7;5,-17,-3,4;4,3,-3,-18
1,0,0,0;1,21,12,10;6,-16,-5,3;3,3,-2,-17
1,0,0,0;1,21,14,8;4,-14,-2,5;3,2,-5,-15
1,0,0,0;1,22,11,9;3,-17,-3,6;2,2,-6,-18
1,0,0,0;1,22,13,7;6,-16,-5,6;6,3,-6,-17
1,0,0,0;1,3,0,0;2,3,0,0;6,0,-1,0
1,0,0,0;1,3,2,3;2,-2,0,1;0,3,-2,-5
1,0,0,0;1,3,4,1;-1,-4,1,1;3,0,-2,-6
1,0,0,0;1,318,191,128;64,-258,-63,62;62,66,-63,-255
1,0,0,0;1,318,193,129;62,-254,-66,62;66,66,-63,-256
1,0,0,0;1,319,190,127;66,-256,-66,66;64,66,-64,-257
1,0,0,0;1,320,191,126;65,-255,-66,64;66,66,-64,-257
1,0,0,0;1,320,193,130;63,-255,-64,62;63,66,-64,-254
1,0,0,0;1,321,194,129;64,-257,-64,66;66,66,-65,-256
1,0,0,0;1,322,191,130;64,-254,-66,64;64,62,-62,-258
1,0,0,0;1,4,1,1;-1,-4,0,1;1,-1,1,-6
1,0,0,0;1,4,3,0;-1,-5,-2,3;1,2,-1,-5
1,0,0,0;1,5,3,0;1,-4,-2,2;2,-1,-2,-4
1,0,0,0;1,6,1,1;2,-3,1,3;0,0,-1,-2
1,0,0,0;1,6,2,3;3,-5,-2,1;-1,1,-3,-3
1,0,0,0;1,6,5,0;2,-3,-3,2;-1,2,0,-3
1,0,0,0;1,7,1,4;0,-3,-1,2;1,1,-3,-4
1,0,0,0;1,78,47,32;15,-65,-15,17;15,15,-18,-62
1,0,0,0;1,78,49,34;14,-65,-16,14;16,16,-17,-65
1,0,0,0;1,79,47,34;18,-62,-15,17;18,15,-17,-65
1,0,0,0;1,80,46,32;15,-66,-15,17;14,17,-14,-65
1,0,0,0;1,80,48,31;17,-64,-17,17;14,14,-18,-65
1,0,0,0;1,80,50,30;16,-66,-16,18;18,18,-16,-65
1,0,0,0;1,81,49,34;18,-63,-16,16;17,16,-18,-64
1,0,0,0;1,82,48,32;15,-63,-15,16;14,14,-17,-64
1,0,0,0;1,82,49,34;14,-66,-17,18;17,18,-15,-62
1,0,0,0;12,48,-8,-56;19,-35,42,50;-24,-42,-31,-39
1,0,0,0;17,-39,-54,-2;-41,1,8,2;-17,24,-53,-36
1,0,0,0;2,-1,-1,-1;-2,-1,2,1;2,-1,-2,-1
1,0,0,0;2,-1,-2,1;2,0,0,1;2,-2,-1,0
1,0,0,0;2,-1,1,1;-2,1,2,-1;-2,-1,0,2
1,0,0,0;2,-1,4,2;5,-3,2,-4;-1,4,-1,5
1,0,0,0;2,-2,0,1;0,-2,0,-2;-2,0,-1,-1
1,0,0,0;2,-23,-58,39;33,11,31,41;34,12,-15,-18
1,0,0,0;2,-3,3,0;1,3,-3,0;-1,3,-3,1
1,0,0,0;2,-5,-3,1;-2,2,0,3;5,-3,1,-2
1,0,0,0;2,0,-1,-1;2,0,2,2;1,2,1,-1
1,0,0,0;2,0,-2,-1;0,1,2,0;-1,-1,3,-1
1,0,0,0;2,0,-4,4;-5,2,-2,1;5,-3,1,-2
1,0,0,0;2,0,0,-3;5,0,-2,0;1,1,0,0
1,0,0,0;2,0,0,2;1,0,3,0;5,0,-3,0
1,0,0,0;2,0,2,-2;-2,-2,1,-1;-1,0,-1,0
1,0,0,0;2,1,-1,-2;-1,-1,3,3;0,1,1,2
1,0,0,0;2,1,-2,3;-1,2,0,3;-1,3,2,-3
1,0,0,0;2,1,1,-2;1,0,2,2;0,2,-2,-2
1,0,0,0;2,18,12,10;3,-15,-3,4;6,6,-5,-16
