shard 6/8: 63602 of 508818 configurations
  shard 6: d=1054 31018 counted, 0 still rejected, best 727 (8190s)
  shard 6: d=1609 31122 counted, 0 still rejected, best 727 (8215s)
  shard 6: d=6329 31226 counted, 0 still rejected, best 727 (8240s)
  shard 6: d=13729 31330 counted, 0 still rejected, best 727 (8266s)
  shard 6: d=16969 31434 counted, 0 still rejected, best 727 (8292s)
  shard 6: d=22649 31538 counted, 0 still rejected, best 727 (8317s)
  shard 6: d=586 31641 counted, 0 still rejected, best 727 (8342s)
  shard 6: d=1114 31744 counted, 0 still rejected, best 727 (8368s)
  shard 6: d=1753 31847 counted, 0 still rejected, best 727 (8392s)
  shard 6: d=3361 31950 counted, 0 still rejected, best 727 (8417s)
  shard 6: d=17209 32053 counted, 0 still rejected, best 727 (8442s)
  shard 6: d=44041 32156 counted, 0 still rejected, best 727 (8468s)
  shard 6: d=4049 32255 counted, 0 still rejected, best 727 (8492s)
  shard 6: d=1241 32353 counted, 0 still rejected, best 727 (8517s)
  shard 6: d=5311 32444 counted, 0 still rejected, best 727 (8540s)
  shard 6: d=55 32534 counted, 0 still rejected, best 727 (8562s)
  shard 6: d=219 32624 counted, 0 still rejected, best 727 (8584s)
  shard 6: d=355 32714 counted, 0 still rejected, best 727 (8606s)
  shard 6: d=3245 32804 counted, 0 still rejected, best 727 (8628s)
  shard 6: d=4929 32894 counted, 0 still rejected, best 727 (8650s)
  shard 6: d=26 32983 counted, 0 still rejected, best 727 (8672s)
  shard 6: d=199 33072 counted, 0 still rejected, best 727 (8694s)
  shard 6: d=7291 33161 counted, 0 still rejected, best 727 (8716s)
  shard 6: d=22 33249 counted, 0 still rejected, best 727 (8737s)
  shard 6: d=205 33337 counted, 0 still rejected, best 727 (8760s)
  shard 6: d=733 33425 counted, 0 still rejected, best 727 (8789s)
  shard 6: d=881 33513 counted, 0 still rejected, best 727 (8816s)
  shard 6: d=2857 33601 counted, 0 still rejected, best 727 (8844s)
  shard 6: d=130 33688 counted, 0 still rejected, best 727 (8869s)
  shard 6: d=190 33775 counted, 0 still rejected, best 727 (8891s)
  shard 6: d=257 33862 counted, 0 still rejected, best 727 (8912s)
  shard 6: d=273 33949 counted, 0 still rejected, best 727 (8934s)
  shard 6: d=445 34036 counted, 0 still rejected, best 727 (8956s)
  shard 6: d=1873 34123 counted, 0 still rejected, best 727 (8977s)
  shard 6: d=2521 34210 counted, 0 still rejected, best 727 (8998s)
  shard 6: d=2553 34297 counted, 0 still rejected, best 727 (9019s)
  shard 6: d=9105 34384 counted, 0 still rejected, best 727 (9040s)
  shard 6: d=78 34470 counted, 0 still rejected, best 727 (9060s)
  shard 6: d=377 34556 counted, 0 still rejected, best 727 (9081s)
  shard 6: d=8689 34639 counted, 0 still rejected, best 727 (9101s)
  shard 6: d=81481 34720 counted, 0 still rejected, best 727 (9120s)
  shard 6: d=2305 34800 counted, 0 still rejected, best 727 (9139s)
  shard 6: d=1801 34879 counted, 0 still rejected, best 727 (9158s)
  shard 6: d=937 34955 counted, 0 still rejected, best 727 (9176s)
  shard 6: d=118 35027 counted, 0 still rejected, best 727 (9193s)
  shard 6: d=195 35099 counted, 0 still rejected, best 727 (9210s)
  shard 6: d=317 35171 counted, 0 still rejected, best 727 (9227s)
  shard 6: d=506 35243 counted, 0 still rejected, best 727 (9244s)
  shard 6: d=913 35315 counted, 0 still rejected, best 727 (9261s)
  shard 6: d=1461 35387 counted, 0 still rejected, best 727 (9279s)
  shard 6: d=1761 35459 counted, 0 still rejected, best 727 (9297s)
  shard 6: d=2199 35531 counted, 0 still rejected, best 727 (9316s)
  shard 6: d=4349 35603 counted, 0 still rejected, best 727 (9333s)
  shard 6: d=5889 35675 counted, 0 still rejected, best 727 (9350s)
  shard 6: d=7294 35747 counted, 0 still rejected, best 727 (9367s)
  shard 6: d=50641 35819 counted, 0 still rejected, best 727 (9385s)
  shard 6: d=163 35890 counted, 0 still rejected, best 727 (9402s)
  shard 6: d=403 35961 counted, 0 still rejected, best 727 (9418s)
  shard 6: d=1351 36032 counted, 0 still rejected, best 727 (9436s)
  shard 6: d=3397 36103 counted, 0 still rejected, best 727 (9453s)
  shard 6: d=4117 36174 counted, 0 still rejected, best 727 (9470s)
  shard 6: d=70 36244 counted, 0 still rejected, best 727 (9487s)
