census n=4 ensemble=mixed shard=a0  (0 already recorded) -> census_n4_mixed_a0.jsonl
   9100 recorded, 10 unevaluable, 506.5/min
   9150 recorded, 10 unevaluable, 507.1/min
   9200 recorded, 10 unevaluable, 507.6/min
   9250 recorded, 10 unevaluable, 508.0/min
   9300 recorded, 10 unevaluable, 508.5/min
   9350 recorded, 10 unevaluable, 509.2/min
   9400 recorded, 10 unevaluable, 510.0/min
   9450 recorded, 10 unevaluable, 510.5/min
   9500 recorded, 10 unevaluable, 511.2/min
   9550 recorded, 10 unevaluable, 511.9/min
   9600 recorded, 10 unevaluable, 512.6/min
   9650 recorded, 10 unevaluable, 513.4/min
   9700 recorded, 10 unevaluable, 514.2/min
   9750 recorded, 10 unevaluable, 515.0/min
   9800 recorded, 10 unevaluable, 515.6/min
   9850 recorded, 10 unevaluable, 516.4/min
   9900 recorded, 10 unevaluable, 517.2/min
   9950 recorded, 10 unevaluable, 518.0/min
   10000 recorded, 10 unevaluable, 518.9/min
   10050 recorded, 10 unevaluable, 519.7/min
   10100 recorded, 10 unevaluable, 520.7/min
   10150 recorded, 10 unevaluable, 521.5/min
   10200 recorded, 10 unevaluable, 522.4/min
   10250 recorded, 10 unevaluable, 523.3/min
   10300 recorded, 10 unevaluable, 524.1/min
   10350 recorded, 10 unevaluable, 524.9/min
   10400 recorded, 10 unevaluable, 525.7/min
   10450 recorded, 10 unevaluable, 526.5/min
   10500 recorded, 10 unevaluable, 527.6/min
   10550 recorded, 10 unevaluable, 528.2/min
   10600 recorded, 10 unevaluable, 529.0/min
   10650 recorded, 10 unevaluable, 529.9/min
   10700 recorded, 10 unevaluable, 530.8/min
   10750 recorded, 11 unevaluable, 531.6/min
   10800 recorded, 11 unevaluable, 532.4/min
   10850 recorded, 11 unevaluable, 533.3/min
   10900 recorded, 11 unevaluable, 534.3/min
   10950 recorded, 11 unevaluable, 535.0/min
   11000 recorded, 11 unevaluable, 535.8/min
   11050 recorded, 11 unevaluable, 536.5/min
   11100 recorded, 11 unevaluable, 537.3/min
   11150 recorded, 11 unevaluable, 538.1/min
   11200 recorded, 11 unevaluable, 539.0/min
   11250 recorded, 11 unevaluable, 539.8/min
   11300 recorded, 11 unevaluable, 540.7/min
   11350 recorded, 11 unevaluable, 541.4/min
   11400 recorded, 11 unevaluable, 542.2/min
   11450 recorded, 11 unevaluable, 543.0/min
   11500 recorded, 11 unevaluable, 543.8/min
   11550 recorded, 11 unevaluable, 544.5/min
   11600 recorded, 11 unevaluable, 545.1/min
   11650 recorded, 11 unevaluable, 545.9/min
   11700 recorded, 12 unevaluable, 546.8/min
   11750 recorded, 12 unevaluable, 547.5/min
   11800 recorded, 12 unevaluable, 548.3/min
   11850 recorded, 12 unevaluable, 549.1/min
   11900 recorded, 12 unevaluable, 549.8/min
   11950 recorded, 12 unevaluable, 550.2/min
   12000 recorded, 12 unevaluable, 550.8/min
   12050 recorded, 12 unevaluable, 551.5/min
   12100 recorded, 12 unevaluable, 552.3/min
   12150 recorded, 12 unevaluable, 552.9/min
   12200 recorded, 12 unevaluable, 553.6/min
   12250 recorded, 12 unevaluable, 554.0/min
   12300 recorded, 12 unevaluable, 554.6/min
   12350 recorded, 12 unevaluable, 555.3/min
   12400 recorded, 12 unevaluable, 556.0/min
   12450 recorded, 12 unevaluable, 556.6/min
   12500 recorded, 12 unevaluable, 557.0/min
   12550 recorded, 12 unevaluable, 557.3/min
   12600 recorded, 12 unevaluable, 558.0/min
   12650 recorded, 12 unevaluable, 558.5/min
   12700 recorded, 13 unevaluable, 559.2/min
   12750 recorded, 13 unevaluable, 559.8/min
   12800 recorded, 13 unevaluable, 560.4/min
