census n=4 ensemble=project shard=a0  (19034 already recorded) -> census_n4_project_a0.jsonl
   10300 recorded, 0 unevaluable, 466.2/min
   10350 recorded, 0 unevaluable, 466.8/min
   10400 recorded, 0 unevaluable, 467.5/min
   10450 recorded, 0 unevaluable, 467.9/min
   10500 recorded, 0 unevaluable, 468.6/min
   10550 recorded, 0 unevaluable, 469.3/min
   10600 recorded, 0 unevaluable, 469.7/min
   10650 recorded, 0 unevaluable, 470.2/min
   10700 recorded, 0 unevaluable, 470.8/min
   10750 recorded, 0 unevaluable, 471.4/min
   10800 recorded, 0 unevaluable, 471.5/min
   10850 recorded, 0 unevaluable, 472.0/min
   10900 recorded, 0 unevaluable, 472.0/min
   10950 recorded, 0 unevaluable, 472.1/min
   11000 recorded, 0 unevaluable, 472.3/min
   11050 recorded, 0 unevaluable, 472.8/min
   11100 recorded, 0 unevaluable, 473.3/min
   11150 recorded, 0 unevaluable, 473.9/min
   11200 recorded, 0 unevaluable, 474.4/min
   11250 recorded, 0 unevaluable, 475.0/min
   11300 recorded, 0 unevaluable, 475.5/min
   11350 recorded, 0 unevaluable, 476.1/min
   11400 recorded, 0 unevaluable, 476.6/min
   11450 recorded, 0 unevaluable, 477.3/min
   11500 recorded, 0 unevaluable, 477.8/min
   11550 recorded, 0 unevaluable, 478.4/min
   11600 recorded, 0 unevaluable, 478.9/min
   11650 recorded, 0 unevaluable, 479.3/min
   11700 recorded, 0 unevaluable, 479.8/min
   11750 recorded, 1 unevaluable, 480.3/min
   11800 recorded, 1 unevaluable, 480.7/min
   11850 recorded, 1 unevaluable, 481.1/min
   11900 recorded, 1 unevaluable, 481.6/min
   11950 recorded, 1 unevaluable, 482.0/min
   12000 recorded, 1 unevaluable, 482.5/min
   12050 recorded, 1 unevaluable, 483.0/min
   12100 recorded, 1 unevaluable, 483.7/min
   12150 recorded, 1 unevaluable, 484.2/min
   12200 recorded, 1 unevaluable, 484.7/min
   12250 recorded, 1 unevaluable, 485.2/min
   12300 recorded, 1 unevaluable, 485.6/min
   12350 recorded, 1 unevaluable, 485.8/min
   12400 recorded, 1 unevaluable, 486.1/min
   12450 recorded, 1 unevaluable, 486.3/min
   12500 recorded, 1 unevaluable, 486.7/min
   12550 recorded, 1 unevaluable, 487.2/min
   12600 recorded, 1 unevaluable, 487.6/min
   12650 recorded, 1 unevaluable, 487.8/min
   12700 recorded, 1 unevaluable, 488.3/min
   12750 recorded, 1 unevaluable, 488.5/min
   12800 recorded, 1 unevaluable, 488.9/min
   12850 recorded, 1 unevaluable, 489.3/min
   12900 recorded, 1 unevaluable, 489.7/min
   12950 recorded, 1 unevaluable, 490.1/min
   13000 recorded, 1 unevaluable, 490.6/min
   13050 recorded, 1 unevaluable, 490.6/min
   13100 recorded, 1 unevaluable, 490.8/min
   13150 recorded, 1 unevaluable, 491.0/min
   13200 recorded, 1 unevaluable, 491.1/min
   13250 recorded, 1 unevaluable, 491.4/min
   13300 recorded, 1 unevaluable, 491.6/min
   13350 recorded, 1 unevaluable, 491.8/min
   13400 recorded, 1 unevaluable, 492.0/min
   13450 recorded, 1 unevaluable, 492.2/min
   13500 recorded, 1 unevaluable, 492.4/min
   13550 recorded, 1 unevaluable, 492.8/min
   13600 recorded, 1 unevaluable, 493.0/min
   13650 recorded, 1 unevaluable, 493.2/min
   13700 recorded, 1 unevaluable, 493.4/min
   13750 recorded, 1 unevaluable, 493.7/min
   13800 recorded, 1 unevaluable, 494.0/min
   13850 recorded, 1 unevaluable, 494.4/min
   13900 recorded, 1 unevaluable, 494.7/min
   13950 recorded, 1 unevaluable, 494.9/min
   14000 recorded, 1 unevaluable, 495.1/min
   14050 recorded, 1 unevaluable, 495.2/min
   14100 recorded, 1 unevaluable, 495.4/min
   14150 recorded, 1 unevaluable, 495.4/min
   14200 recorded, 1 unevaluable, 495.5/min
   14250 recorded, 1 unevaluable, 495.7/min
   14300 recorded, 1 unevaluable, 495.9/min
   14350 recorded, 1 unevaluable, 495.8/min
   14400 recorded, 1 unevaluable, 496.1/min
   14450 recorded, 1 unevaluable, 496.2/min
   14500 recorded, 1 unevaluable, 496.4/min
   14550 recorded, 1 unevaluable, 496.6/min
   14600 recorded, 1 unevaluable, 496.5/min
   14650 recorded, 1 unevaluable, 496.7/min
   14700 recorded, 1 unevaluable, 497.0/min
   14750 recorded, 1 unevaluable, 497.1/min
   14800 recorded, 1 unevaluable, 497.2/min
   14850 recorded, 1 unevaluable, 497.4/min
   14900 recorded, 1 unevaluable, 497.6/min
   14950 recorded, 1 unevaluable, 497.9/min
   15000 recorded, 1 unevaluable, 498.0/min
   15050 recorded, 1 unevaluable, 498.1/min
   15100 recorded, 1 unevaluable, 498.2/min
   15150 recorded, 1 unevaluable, 498.3/min
   15200 recorded, 1 unevaluable, 498.5/min
   15250 recorded, 1 unevaluable, 498.7/min
   15300 recorded, 1 unevaluable, 498.7/min
   15350 recorded, 1 unevaluable, 498.5/min
   15400 recorded, 1 unevaluable, 498.4/min
   15450 recorded, 1 unevaluable, 498.5/min
   15500 recorded, 1 unevaluable, 498.3/min
   15550 recorded, 1 unevaluable, 498.3/min
   15600 recorded, 1 unevaluable, 498.3/min
   15650 recorded, 1 unevaluable, 498.4/min
   15700 recorded, 1 unevaluable, 498.5/min
   15750 recorded, 1 unevaluable, 498.7/min
   15800 recorded, 1 unevaluable, 498.9/min
   15850 recorded, 1 unevaluable, 498.9/min
   15900 recorded, 1 unevaluable, 499.0/min
   15950 recorded, 1 unevaluable, 499.0/min
   16000 recorded, 1 unevaluable, 499.0/min
   16050 recorded, 1 unevaluable, 498.9/min
   16100 recorded, 1 unevaluable, 498.6/min
   16150 recorded, 1 unevaluable, 498.3/min
   16200 recorded, 1 unevaluable, 498.3/min
   16250 recorded, 1 unevaluable, 498.1/min
   16300 recorded, 1 unevaluable, 498.0/min
   16350 recorded, 1 unevaluable, 497.7/min
   16400 recorded, 1 unevaluable, 497.2/min
   16450 recorded, 1 unevaluable, 496.5/min
   16500 recorded, 1 unevaluable, 496.3/min
   16550 recorded, 1 unevaluable, 496.1/min
   16600 recorded, 1 unevaluable, 496.0/min
   16650 recorded, 1 unevaluable, 496.0/min
   16700 recorded, 1 unevaluable, 496.0/min
   16750 recorded, 1 unevaluable, 495.9/min
   16800 recorded, 1 unevaluable, 495.7/min
   16850 recorded, 1 unevaluable, 495.8/min
   16900 recorded, 1 unevaluable, 495.8/min
   16950 recorded, 1 unevaluable, 495.7/min
   17000 recorded, 1 unevaluable, 495.6/min
   17050 recorded, 1 unevaluable, 495.5/min
   17100 recorded, 1 unevaluable, 495.5/min
   17150 recorded, 1 unevaluable, 495.5/min
   17200 recorded, 1 unevaluable, 495.4/min
   17250 recorded, 1 unevaluable, 495.3/min
   17300 recorded, 1 unevaluable, 495.2/min
   17350 recorded, 1 unevaluable, 495.4/min
   17400 recorded, 1 unevaluable, 495.5/min
   17450 recorded, 1 unevaluable, 495.5/min
   17500 recorded, 1 unevaluable, 495.5/min
   17550 recorded, 1 unevaluable, 495.4/min
   17600 recorded, 1 unevaluable, 494.7/min
   17650 recorded, 1 unevaluable, 493.1/min
   17700 recorded, 1 unevaluable, 491.5/min
   17750 recorded, 1 unevaluable, 490.9/min
   17800 recorded, 1 unevaluable, 490.8/min
   17850 recorded, 1 unevaluable, 490.7/min
   17900 recorded, 1 unevaluable, 490.8/min
   17950 recorded, 1 unevaluable, 490.7/min
   18000 recorded, 1 unevaluable, 490.8/min
   18050 recorded, 1 unevaluable, 490.8/min
   18100 recorded, 1 unevaluable, 491.0/min
   18150 recorded, 1 unevaluable, 491.1/min
   18200 recorded, 1 unevaluable, 491.1/min
   18250 recorded, 1 unevaluable, 491.2/min
   18300 recorded, 1 unevaluable, 491.1/min
   18350 recorded, 1 unevaluable, 491.1/min
   18400 recorded, 1 unevaluable, 491.2/min
   18450 recorded, 1 unevaluable, 491.1/min
   18500 recorded, 1 unevaluable, 491.1/min
   18550 recorded, 1 unevaluable, 491.0/min
   18600 recorded, 1 unevaluable, 490.9/min
   18650 recorded, 1 unevaluable, 491.0/min
   18700 recorded, 1 unevaluable, 490.9/min
   18750 recorded, 1 unevaluable, 491.0/min
   18800 recorded, 1 unevaluable, 490.8/min
   18850 recorded, 1 unevaluable, 490.7/min
   18900 recorded, 1 unevaluable, 490.7/min
   18950 recorded, 1 unevaluable, 490.7/min
   19000 recorded, 1 unevaluable, 490.7/min
   19050 recorded, 1 unevaluable, 490.6/min
   19100 recorded, 1 unevaluable, 490.5/min
