preloaded 0 memoized evals
=== deepsweep: 48 starts x 3 plain objectives + 10 strata ===
  groebner_aq22:total: converged it=3 total=721 by_depth={0: 1, 1: 208, 2: 220, 3: 156, 4: 100, 5: 36, 6: 1} score=721.0
  groebner_aq23:total: converged it=3 total=721 by_depth={0: 1, 1: 208, 2: 220, 3: 156, 4: 100, 5: 36, 6: 1} score=721.0
  groebner_aq24:total: converged it=3 total=721 by_depth={0: 1, 1: 208, 2: 218, 3: 160, 4: 98, 5: 36, 6: 1} score=721.0
  groebner_aq25:total: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=717.0
  random_723_s2_0:total: converged it=3 total=705 by_depth={0: 1, 1: 202, 2: 216, 3: 154, 4: 96, 5: 36, 6: 1} score=705.0
  random_717_s3_1:total: converged it=7 total=711 by_depth={0: 1, 1: 190, 2: 218, 3: 164, 4: 102, 5: 36, 6: 1} score=711.0
  random_723_s4_2:total: converged it=3 total=715 by_depth={0: 1, 1: 192, 2: 220, 3: 164, 4: 102, 5: 36, 6: 1} score=715.0
  random_717_s5_3:total: converged it=7 total=723 by_depth={0: 1, 1: 198, 2: 222, 3: 164, 4: 102, 5: 36, 6: 1} score=723.0
  random_723_s6_4:total: converged it=3 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=717.0
  random_717_s8_5:total: converged it=6 total=699 by_depth={0: 1, 1: 178, 2: 218, 3: 164, 4: 102, 5: 36, 6: 1} score=699.0
  random_723_s10_6:total: converged it=5 total=689 by_depth={0: 1, 1: 170, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1} score=689.0
  random_717_s12_7:total: converged it=5 total=677 by_depth={0: 1, 1: 162, 2: 216, 3: 162, 4: 100, 5: 36, 6: 1} score=677.0
  random_723_s2_8:total: converged it=3 total=723 by_depth={0: 1, 1: 210, 2: 216, 3: 164, 4: 96, 5: 36, 6: 1} score=723.0
  random_717_s3_9:total: converged it=4 total=711 by_depth={0: 1, 1: 190, 2: 218, 3: 164, 4: 102, 5: 36, 6: 1} score=711.0
  random_723_s4_10:total: converged it=3 total=679 by_depth={0: 1, 1: 164, 2: 214, 3: 164, 4: 100, 5: 36, 6: 1} score=679.0
  random_717_s5_11:total: converged it=5 total=691 by_depth={0: 1, 1: 178, 2: 210, 3: 164, 4: 102, 5: 36, 6: 1} score=691.0
  random_723_s6_12:total: converged it=5 total=705 by_depth={0: 1, 1: 190, 2: 216, 3: 162, 4: 100, 5: 36, 6: 1} score=705.0
  random_717_s8_13:total: converged it=5 total=705 by_depth={0: 1, 1: 184, 2: 218, 3: 164, 4: 102, 5: 36, 6: 1} score=705.0
  random_723_s10_14:total: converged it=4 total=691 by_depth={0: 1, 1: 172, 2: 216, 3: 164, 4: 102, 5: 36, 6: 1} score=691.0
  random_717_s12_15:total: converged it=5 total=679 by_depth={0: 1, 1: 168, 2: 214, 3: 158, 4: 102, 5: 36, 6: 1} score=679.0
  random_723_s2_16:total: converged it=3 total=723 by_depth={0: 1, 1: 210, 2: 216, 3: 164, 4: 96, 5: 36, 6: 1} score=723.0
  random_717_s3_17:total: converged it=4 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 158, 4: 102, 5: 36, 6: 1} score=717.0
  random_723_s4_18:total: converged it=6 total=723 by_depth={0: 1, 1: 210, 2: 218, 3: 160, 4: 98, 5: 36, 6: 1} score=723.0
  random_717_s5_19:total: converged it=7 total=723 by_depth={0: 1, 1: 198, 2: 222, 3: 164, 4: 102, 5: 36, 6: 1} score=723.0
-- objective total champion: total=723 by_depth={0: 1, 1: 210, 2: 216, 3: 164, 4: 96, 5: 36, 6: 1}
  record723:d1: converged it=1 total=723 by_depth={0: 1, 1: 210, 2: 216, 3: 164, 4: 96, 5: 36, 6: 1} score=210.0
  record717:d1: converged it=1 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 158, 4: 102, 5: 36, 6: 1} score=210.0
  groebner_aq0:d1: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=210.0
  groebner_aq1:d1: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=210.0
  groebner_aq2:d1: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=210.0
  groebner_aq3:d1: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=210.0
  groebner_aq4:d1: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=210.0
  groebner_aq5:d1: converged it=2 total=679 by_depth={0: 1, 1: 226, 2: 192, 3: 134, 4: 90, 5: 36, 6: 1} score=226.0
  groebner_aq6:d1: converged it=2 total=679 by_depth={0: 1, 1: 226, 2: 192, 3: 134, 4: 90, 5: 36, 6: 1} score=226.0
  groebner_aq7:d1: converged it=2 total=679 by_depth={0: 1, 1: 226, 2: 192, 3: 134, 4: 90, 5: 36, 6: 1} score=226.0
  groebner_aq8:d1: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=210.0
  groebner_aq9:d1: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=210.0
  groebner_aq10:d1: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=210.0
  groebner_aq11:d1: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=210.0
  groebner_aq12:d1: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=210.0
  groebner_aq13:d1: converged it=1 total=689 by_depth={0: 1, 1: 224, 2: 198, 3: 142, 4: 88, 5: 36, 6: 1} score=224.0
  groebner_aq14:d1: converged it=1 total=689 by_depth={0: 1, 1: 224, 2: 198, 3: 142, 4: 88, 5: 36, 6: 1} score=224.0
  groebner_aq15:d1: converged it=1 total=689 by_depth={0: 1, 1: 224, 2: 198, 3: 142, 4: 88, 5: 36, 6: 1} score=224.0
  groebner_aq16:d1: converged it=1 total=689 by_depth={0: 1, 1: 224, 2: 198, 3: 142, 4: 88, 5: 36, 6: 1} score=224.0
  groebner_aq17:d1: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=210.0
  groebner_aq18:d1: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=210.0
  groebner_aq19:d1: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=210.0
  groebner_aq20:d1: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=210.0
  groebner_aq21:d1: converged it=2 total=679 by_depth={0: 1, 1: 226, 2: 192, 3: 134, 4: 90, 5: 36, 6: 1} score=226.0
  groebner_aq22:d1: converged it=2 total=679 by_depth={0: 1, 1: 226, 2: 192, 3: 134, 4: 90, 5: 36, 6: 1} score=226.0
  groebner_aq23:d1: converged it=2 total=679 by_depth={0: 1, 1: 226, 2: 192, 3: 134, 4: 90, 5: 36, 6: 1} score=226.0
  groebner_aq24:d1: converged it=2 total=679 by_depth={0: 1, 1: 226, 2: 192, 3: 134, 4: 90, 5: 36, 6: 1} score=226.0
  groebner_aq25:d1: converged it=2 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=210.0
  random_723_s2_0:d1: converged it=3 total=705 by_depth={0: 1, 1: 202, 2: 216, 3: 154, 4: 96, 5: 36, 6: 1} score=202.0
  random_717_s3_1:d1: converged it=5 total=707 by_depth={0: 1, 1: 190, 2: 216, 3: 164, 4: 100, 5: 36, 6: 1} score=190.0
  random_723_s4_2:d1: converged it=4 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=210.0
  random_717_s5_3:d1: converged it=4 total=629 by_depth={0: 1, 1: 176, 2: 174, 3: 140, 4: 102, 5: 36, 6: 1} score=176.0
  random_723_s6_4:d1: converged it=3 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 164, 4: 96, 5: 36, 6: 1} score=210.0
  random_717_s8_5:d1: converged it=6 total=633 by_depth={0: 1, 1: 180, 2: 176, 3: 138, 4: 102, 5: 36, 6: 1} score=180.0
  random_723_s10_6:d1: converged it=6 total=677 by_depth={0: 1, 1: 178, 2: 204, 3: 160, 4: 98, 5: 36, 6: 1} score=178.0
  random_717_s12_7:d1: converged it=6 total=661 by_depth={0: 1, 1: 178, 2: 190, 3: 160, 4: 96, 5: 36, 6: 1} score=178.0
  random_723_s2_8:d1: converged it=2 total=687 by_depth={0: 1, 1: 192, 2: 196, 3: 164, 4: 98, 5: 36, 6: 1} score=192.0
  random_717_s3_9:d1: converged it=5 total=717 by_depth={0: 1, 1: 192, 2: 222, 3: 164, 4: 102, 5: 36, 6: 1} score=192.0
  random_723_s4_10:d1: converged it=5 total=723 by_depth={0: 1, 1: 210, 2: 216, 3: 164, 4: 96, 5: 36, 6: 1} score=210.0
  random_717_s5_11:d1: converged it=5 total=693 by_depth={0: 1, 1: 180, 2: 214, 3: 160, 4: 102, 5: 36, 6: 1} score=180.0
  random_723_s6_12:d1: converged it=5 total=705 by_depth={0: 1, 1: 190, 2: 216, 3: 162, 4: 100, 5: 36, 6: 1} score=190.0
  random_717_s8_13:d1: converged it=4 total=699 by_depth={0: 1, 1: 184, 2: 216, 3: 162, 4: 100, 5: 36, 6: 1} score=184.0
  random_723_s10_14:d1: converged it=5 total=691 by_depth={0: 1, 1: 176, 2: 214, 3: 164, 4: 100, 5: 36, 6: 1} score=176.0
  random_717_s12_15:d1: converged it=5 total=667 by_depth={0: 1, 1: 180, 2: 192, 3: 158, 4: 100, 5: 36, 6: 1} score=180.0
  random_723_s2_16:d1: converged it=3 total=723 by_depth={0: 1, 1: 210, 2: 216, 3: 164, 4: 96, 5: 36, 6: 1} score=210.0
  random_717_s3_17:d1: converged it=4 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 158, 4: 102, 5: 36, 6: 1} score=210.0
  random_723_s4_18:d1: converged it=6 total=723 by_depth={0: 1, 1: 210, 2: 218, 3: 160, 4: 98, 5: 36, 6: 1} score=210.0
  random_717_s5_19:d1: converged it=5 total=701 by_depth={0: 1, 1: 204, 2: 206, 3: 156, 4: 98, 5: 36, 6: 1} score=204.0
-- objective d1 champion: total=679 by_depth={0: 1, 1: 226, 2: 192, 3: 134, 4: 90, 5: 36, 6: 1}
  stratum(164, 102, 36):record723: converged it=1 total=723 by_depth={0: 1, 1: 210, 2: 216, 3: 164, 4: 96, 5: 36, 6: 1} score=426.0
  stratum(164, 102, 36):record717: converged it=1 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 158, 4: 102, 5: 36, 6: 1} score=420.0
-- stratum (164, 102, 36) best: total=723 d1+d2=426 by_depth={0: 1, 1: 210, 2: 216, 3: 164, 4: 96, 5: 36, 6: 1}
  stratum(164, 96, 36):record723: converged it=1 total=723 by_depth={0: 1, 1: 210, 2: 216, 3: 164, 4: 96, 5: 36, 6: 1} score=426.0
  stratum(164, 96, 36):record717: converged it=3 total=585 by_depth={0: 1, 1: 146, 2: 182, 3: 138, 4: 86, 5: 32, 6: 1} score=328.0
-- stratum (164, 96, 36) best: total=723 d1+d2=426 by_depth={0: 1, 1: 210, 2: 216, 3: 164, 4: 96, 5: 36, 6: 1}
  stratum(158, 102, 36):record723: converged it=2 total=711 by_depth={0: 1, 1: 204, 2: 216, 3: 152, 4: 102, 5: 36, 6: 1} score=420.0
  stratum(158, 102, 36):record717: converged it=1 total=717 by_depth={0: 1, 1: 210, 2: 210, 3: 158, 4: 102, 5: 36, 6: 1} score=420.0
-- stratum (158, 102, 36) best: total=711 d1+d2=420 by_depth={0: 1, 1: 204, 2: 216, 3: 152, 4: 102, 5: 36, 6: 1}
  stratum(158, 96, 36):record723: converged it=2 total=705 by_depth={0: 1, 1: 202, 2: 216, 3: 154, 4: 96, 5: 36, 6: 1} score=418.0
  stratum(158, 96, 36):record717: converged it=3 total=585 by_depth={0: 1, 1: 146, 2: 182, 3: 138, 4: 86, 5: 32, 6: 1} score=328.0
-- stratum (158, 96, 36) best: total=705 d1+d2=418 by_depth={0: 1, 1: 202, 2: 216, 3: 154, 4: 96, 5: 36, 6: 1}
  stratum(150, 102, 36):record723: converged it=4 total=593 by_depth={0: 1, 1: 162, 2: 180, 3: 134, 4: 84, 5: 32, 6: 1} score=342.0
  stratum(150, 102, 36):record717: converged it=3 total=585 by_depth={0: 1, 1: 146, 2: 182, 3: 138, 4: 86, 5: 32, 6: 1} score=328.0
-- stratum (150, 102, 36) best: total=593 d1+d2=342 by_depth={0: 1, 1: 162, 2: 180, 3: 134, 4: 84, 5: 32, 6: 1}
  stratum(150, 96, 36):record723: converged it=4 total=593 by_depth={0: 1, 1: 162, 2: 180, 3: 134, 4: 84, 5: 32, 6: 1} score=342.0
  stratum(150, 96, 36):record717: converged it=3 total=585 by_depth={0: 1, 1: 146, 2: 182, 3: 138, 4: 86, 5: 32, 6: 1} score=328.0
-- stratum (150, 96, 36) best: total=593 d1+d2=342 by_depth={0: 1, 1: 162, 2: 180, 3: 134, 4: 84, 5: 32, 6: 1}
  stratum(164, 90, 36):record723: converged it=4 total=593 by_depth={0: 1, 1: 162, 2: 180, 3: 134, 4: 84, 5: 32, 6: 1} score=342.0
  stratum(164, 90, 36):record717: converged it=3 total=585 by_depth={0: 1, 1: 146, 2: 182, 3: 138, 4: 86, 5: 32, 6: 1} score=328.0
-- stratum (164, 90, 36) best: total=593 d1+d2=342 by_depth={0: 1, 1: 162, 2: 180, 3: 134, 4: 84, 5: 32, 6: 1}
