starting
planes/cube [24, 24, 24, 24, 23] ; quadrics/cube [96, 96, 96, 96, 96]
squarefree classes of the irrational solutions (top 12): [(5, 13500), (17, 12930), (465, 8394), (15, 8106), (115, 7536), (6, 7104), (10, 6828), (481, 6594), (217, 5970), (145, 5508), (13, 5244), (73, 4998)]
classes: 1384, candidate configs: 508818
  Q(sqrt2311    ):    552 cfgs, counted    108, best 703
  Q(sqrt9985    ):    552 cfgs, counted     48, best 707
  Q(sqrt1649    ):    552 cfgs, counted    312, best 699
  Q(sqrt27361   ):    552 cfgs, counted      0, best 0
  Q(sqrt1714    ):    552 cfgs, counted     72, best 699
  Q(sqrt1257    ):    552 cfgs, counted    252, best 699
  Q(sqrt8049    ):    552 cfgs, counted      0, best 0
  Q(sqrt11545   ):    552 cfgs, counted     36, best 699
  Q(sqrt142     ):    552 cfgs, counted    552, best 699
  Q(sqrt2433    ):    552 cfgs, counted    288, best 715
  Q(sqrt345     ):    552 cfgs, counted    534, best 699
  Q(sqrt1689    ):    552 cfgs, counted    342, best 699
  Q(sqrt826     ):    552 cfgs, counted    516, best 697
  Q(sqrt5017    ):    552 cfgs, counted     24, best 699
  Q(sqrt757     ):    552 cfgs, counted    552, best 703
  Q(sqrt214     ):    552 cfgs, counted    552, best 711
  Q(sqrt1657    ):    552 cfgs, counted    288, best 695
  Q(sqrt633     ):    552 cfgs, counted    522, best 709
  Q(sqrt310     ):    552 cfgs, counted    552, best 723
  Q(sqrt606     ):    546 cfgs, counted    192, best 713
  Q(sqrt885     ):    540 cfgs, counted    168, best 713
  Q(sqrt367     ):    540 cfgs, counted    372, best 699
  Q(sqrt21289   ):    534 cfgs, counted      0, best 0
  Q(sqrt56833   ):    522 cfgs, counted      0, best 0
  Q(sqrt23305   ):    516 cfgs, counted      0, best 0
  Q(sqrt54409   ):    510 cfgs, counted      0, best 0
  Q(sqrt2281    ):    510 cfgs, counted    144, best 699
  Q(sqrt78241   ):    486 cfgs, counted      0, best 0
  Q(sqrt21721   ):    474 cfgs, counted      0, best 0
  Q(sqrt37241   ):    462 cfgs, counted      0, best 0
  Q(sqrt13489   ):    450 cfgs, counted      0, best 0
  Q(sqrt6999    ):    432 cfgs, counted     42, best 705
  Q(sqrt282     ):    432 cfgs, counted    372, best 721
  Q(sqrt1093    ):    432 cfgs, counted     60, best 727
  Q(sqrt130561  ):    432 cfgs, counted      0, best 0
  Q(sqrt21697   ):    432 cfgs, counted      0, best 0
  Q(sqrt11617   ):    432 cfgs, counted      0, best 0
  Q(sqrt27321   ):    432 cfgs, counted      0, best 0
  Q(sqrt2137    ):    432 cfgs, counted    138, best 713
  Q(sqrt434     ):    432 cfgs, counted    252, best 717
  Q(sqrt409     ):    432 cfgs, counted    222, best 707
  Q(sqrt91      ):    432 cfgs, counted    348, best 717
  Q(sqrt2733    ):    432 cfgs, counted      0, best 0
  Q(sqrt209     ):    432 cfgs, counted    408, best 721
  Q(sqrt1677    ):    432 cfgs, counted     54, best 699
  Q(sqrt1419    ):    432 cfgs, counted     90, best 713
  Q(sqrt127     ):    432 cfgs, counted    216, best 695
  Q(sqrt79      ):    432 cfgs, counted    420, best 721
  Q(sqrt473     ):    432 cfgs, counted    204, best 715
  Q(sqrt3151    ):    426 cfgs, counted      6, best 703
  Q(sqrt17521   ):    426 cfgs, counted      0, best 0
  Q(sqrt7177    ):    426 cfgs, counted     54, best 685
  Q(sqrt8857    ):    426 cfgs, counted     18, best 693
  Q(sqrt449     ):    426 cfgs, counted    180, best 717
  Q(sqrt454     ):    426 cfgs, counted    210, best 713
  Q(sqrt1217    ):    426 cfgs, counted     36, best 715
  Q(sqrt8593    ):    426 cfgs, counted      0, best 0
  Q(sqrt34129   ):    426 cfgs, counted      0, best 0
  Q(sqrt385     ):    426 cfgs, counted    306, best 715
  Q(sqrt561     ):    420 cfgs, counted    288, best 705
  Q(sqrt51      ):    420 cfgs, counted    408, best 699
  Q(sqrt40921   ):    420 cfgs, counted      0, best 0
  Q(sqrt14809   ):    420 cfgs, counted      0, best 0
  Q(sqrt3409    ):    420 cfgs, counted     12, best 713
  Q(sqrt25849   ):    420 cfgs, counted      0, best 0
  Q(sqrt2633    ):    420 cfgs, counted    216, best 711
  Q(sqrt6785    ):    420 cfgs, counted     60, best 693
  Q(sqrt746     ):    420 cfgs, counted    282, best 711
  Q(sqrt1185    ):    420 cfgs, counted    210, best 721
  Q(sqrt1129    ):    420 cfgs, counted    222, best 713
  Q(sqrt46      ):    420 cfgs, counted    366, best 719
  Q(sqrt2473    ):    420 cfgs, counted     72, best 711
  Q(sqrt793     ):    420 cfgs, counted    246, best 715
  Q(sqrt689     ):    420 cfgs, counted    234, best 699
  Q(sqrt3369    ):    420 cfgs, counted    186, best 719
  Q(sqrt7849    ):    414 cfgs, counted      0, best 0
  Q(sqrt6629    ):    414 cfgs, counted      0, best 0
  Q(sqrt2741    ):    414 cfgs, counted      6, best 727
  Q(sqrt123     ):    414 cfgs, counted    324, best 713
  Q(sqrt533     ):    414 cfgs, counted    234, best 713
  Q(sqrt139     ):    414 cfgs, counted    318, best 717
  Q(sqrt353     ):    414 cfgs, counted    414, best 719
  Q(sqrt210     ):    414 cfgs, counted    414, best 695
  Q(sqrt1909    ):    414 cfgs, counted    264, best 717
  Q(sqrt2161    ):    414 cfgs, counted     36, best 711
  Q(sqrt2849    ):    414 cfgs, counted    168, best 699
  Q(sqrt67      ):    414 cfgs, counted    390, best 699
  Q(sqrt9161    ):    414 cfgs, counted      0, best 0
  Q(sqrt57721   ):    408 cfgs, counted      0, best 0
  Q(sqrt2851    ):    408 cfgs, counted     36, best 707
  Q(sqrt6689    ):    408 cfgs, counted      0, best 0
  Q(sqrt2395    ):    408 cfgs, counted      0, best 0
  Q(sqrt6235    ):    402 cfgs, counted      0, best 0
  Q(sqrt129721  ):    402 cfgs, counted      0, best 0
  Q(sqrt58129   ):    402 cfgs, counted      0, best 0
  Q(sqrt795     ):    396 cfgs, counted     78, best 717
  Q(sqrt52201   ):    396 cfgs, counted      0, best 0
  Q(sqrt2145    ):    396 cfgs, counted     72, best 695
  Q(sqrt31945   ):    396 cfgs, counted      0, best 0
  Q(sqrt435     ):    390 cfgs, counted    150, best 721
  Q(sqrt8977    ):    390 cfgs, counted      0, best 0
  Q(sqrt2329    ):    384 cfgs, counted     48, best 707
  Q(sqrt29041   ):    384 cfgs, counted      0, best 0
  Q(sqrt53833   ):    378 cfgs, counted      0, best 0
  Q(sqrt56809   ):    378 cfgs, counted      0, best 0
  Q(sqrt17737   ):    378 cfgs, counted      0, best 0
  Q(sqrt4261    ):    378 cfgs, counted      0, best 0
  Q(sqrt8193    ):    372 cfgs, counted      0, best 0
  Q(sqrt15529   ):    372 cfgs, counted      0, best 0
  Q(sqrt173881  ):    366 cfgs, counted      0, best 0
  Q(sqrt27941   ):    366 cfgs, counted      0, best 0
  Q(sqrt14281   ):    366 cfgs, counted      0, best 0
  Q(sqrt40609   ):    360 cfgs, counted      0, best 0
  Q(sqrt5086    ):    354 cfgs, counted      0, best 0
  Q(sqrt4497    ):    354 cfgs, counted     90, best 699
  Q(sqrt3049    ):    354 cfgs, counted    120, best 697
  Q(sqrt39769   ):    348 cfgs, counted      0, best 0
  Q(sqrt14449   ):    342 cfgs, counted      0, best 0
  Q(sqrt86041   ):    336 cfgs, counted      0, best 0
  Q(sqrt60841   ):    336 cfgs, counted      0, best 0
  Q(sqrt61369   ):    330 cfgs, counted      0, best 0
  Q(sqrt23809   ):    330 cfgs, counted      0, best 0
  Q(sqrt23401   ):    324 cfgs, counted      0, best 0
  Q(sqrt86953   ):    324 cfgs, counted      0, best 0
  Q(sqrt12529   ):    324 cfgs, counted      0, best 0
  Q(sqrt25561   ):    324 cfgs, counted      0, best 0
  Q(sqrt9337    ):    324 cfgs, counted      0, best 0
  Q(sqrt62841   ):    312 cfgs, counted      0, best 0
  Q(sqrt25705   ):    306 cfgs, counted      0, best 0
  Q(sqrt53641   ):    300 cfgs, counted      0, best 0
  Q(sqrt38329   ):    300 cfgs, counted      0, best 0
  Q(sqrt9601    ):    294 cfgs, counted      0, best 0
  Q(sqrt705     ):    288 cfgs, counted     72, best 723
  Q(sqrt13665   ):    288 cfgs, counted      0, best 0
  Q(sqrt86      ):    288 cfgs, counted    174, best 707
  Q(sqrt143     ):    288 cfgs, counted    198, best 697
  Q(sqrt1167    ):    288 cfgs, counted     30, best 703
  Q(sqrt690     ):    288 cfgs, counted    138, best 721
  Q(sqrt483     ):    288 cfgs, counted    120, best 699
  Q(sqrt715     ):    288 cfgs, counted    192, best 693
  Q(sqrt1795    ):    288 cfgs, counted     12, best 717
  Q(sqrt565     ):    288 cfgs, counted    180, best 705
  Q(sqrt22521   ):    288 cfgs, counted      0, best 0
  Q(sqrt4621    ):    288 cfgs, counted      0, best 0
  Q(sqrt9145    ):    288 cfgs, counted      0, best 0
  Q(sqrt30081   ):    288 cfgs, counted      0, best 0
  Q(sqrt17969   ):    288 cfgs, counted      0, best 0
  Q(sqrt10129   ):    288 cfgs, counted      0, best 0
  Q(sqrt71      ):    288 cfgs, counted    282, best 719
  Q(sqrt27409   ):    288 cfgs, counted      0, best 0
  Q(sqrt4831    ):    288 cfgs, counted      6, best 709
  Q(sqrt1678    ):    288 cfgs, counted     60, best 697
  Q(sqrt2765    ):    288 cfgs, counted     12, best 689
  Q(sqrt6989    ):    288 cfgs, counted      0, best 0
  Q(sqrt365     ):    288 cfgs, counted    132, best 715
  Q(sqrt1785    ):    288 cfgs, counted     36, best 727
  Q(sqrt7489    ):    288 cfgs, counted     42, best 705
  Q(sqrt29649   ):    288 cfgs, counted      0, best 0
  Q(sqrt2110    ):    288 cfgs, counted     54, best 717
  Q(sqrt4314    ):    288 cfgs, counted      0, best 0
  Q(sqrt6469    ):    288 cfgs, counted      0, best 0
  Q(sqrt101     ):    288 cfgs, counted    276, best 703
  Q(sqrt6481    ):    288 cfgs, counted      0, best 0
  Q(sqrt1498    ):    288 cfgs, counted     30, best 711
  Q(sqrt22561   ):    288 cfgs, counted      0, best 0
  Q(sqrt2359    ):    288 cfgs, counted     30, best 707
  Q(sqrt25105   ):    288 cfgs, counted      0, best 0
  Q(sqrt5369    ):    288 cfgs, counted      0, best 0
  Q(sqrt1783    ):    288 cfgs, counted     42, best 691
  Q(sqrt27953   ):    288 cfgs, counted      0, best 0
  Q(sqrt3199    ):    288 cfgs, counted     18, best 687
  Q(sqrt1130    ):    288 cfgs, counted     36, best 711
  Q(sqrt303     ):    288 cfgs, counted    192, best 711
  Q(sqrt115849  ):    288 cfgs, counted      0, best 0
  Q(sqrt102001  ):    288 cfgs, counted      0, best 0
  Q(sqrt8130    ):    288 cfgs, counted      0, best 0
  Q(sqrt3570    ):    288 cfgs, counted      0, best 0
  Q(sqrt3293    ):    288 cfgs, counted      0, best 0
  Q(sqrt10481   ):    288 cfgs, counted      0, best 0
  Q(sqrt5281    ):    288 cfgs, counted     18, best 713
  Q(sqrt1435    ):    288 cfgs, counted     66, best 721
  Q(sqrt17089   ):    288 cfgs, counted      0, best 0
  Q(sqrt16529   ):    288 cfgs, counted      0, best 0
  Q(sqrt5761    ):    288 cfgs, counted      0, best 0
  Q(sqrt5407    ):    288 cfgs, counted      6, best 689
  Q(sqrt3931    ):    288 cfgs, counted      0, best 0
  Q(sqrt10879   ):    288 cfgs, counted      0, best 0
  Q(sqrt1651    ):    288 cfgs, counted     36, best 719
  Q(sqrt2779    ):    288 cfgs, counted      0, best 0
  Q(sqrt7673    ):    288 cfgs, counted      0, best 0
  Q(sqrt643     ):    288 cfgs, counted    108, best 697
  Q(sqrt2557    ):    288 cfgs, counted      0, best 0
  Q(sqrt11177   ):    288 cfgs, counted      0, best 0
  Q(sqrt1221    ):    288 cfgs, counted     24, best 719
  Q(sqrt741     ):    288 cfgs, counted     90, best 697
  Q(sqrt4609    ):    288 cfgs, counted      0, best 0
  Q(sqrt5857    ):    288 cfgs, counted      0, best 0
  Q(sqrt7753    ):    288 cfgs, counted      0, best 0
  Q(sqrt1597    ):    288 cfgs, counted     18, best 711
  Q(sqrt1387    ):    288 cfgs, counted      0, best 0
  Q(sqrt569     ):    288 cfgs, counted     60, best 719
  Q(sqrt77      ):    288 cfgs, counted    288, best 703
  Q(sqrt2215    ):    282 cfgs, counted     54, best 713
  Q(sqrt69      ):    282 cfgs, counted    222, best 713
  Q(sqrt2705    ):    282 cfgs, counted     78, best 705
  Q(sqrt132529  ):    282 cfgs, counted      0, best 0
  Q(sqrt545     ):    282 cfgs, counted    186, best 705
  Q(sqrt18001   ):    282 cfgs, counted      0, best 0
  Q(sqrt1385    ):    282 cfgs, counted     78, best 703
  Q(sqrt2617    ):    282 cfgs, counted     18, best 691
  Q(sqrt238     ):    282 cfgs, counted    234, best 711
  Q(sqrt7905    ):    282 cfgs, counted     42, best 697
  Q(sqrt7001    ):    282 cfgs, counted      0, best 0
