[ 6068.0s] n=9 k=6 c=707   lin 3 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[ 6477.9s] n=9 k=6 c=703   lin 5 -> nonempty  4 dirs: 2 confirmed, 0 unevaluable, 2 changed; wraps [723, 723]
[ 6517.5s] n=9 k=6 c=701   lin 5 -> nonempty  15 dirs: 2 confirmed, 0 unevaluable, 13 changed; wraps [373, 369]
[ 6957.9s] n=9 k=6 c=697   lin 5 -> nonempty  2 dirs: 2 confirmed, 0 unevaluable, 0 changed; wraps [707, 715]
[ 6980.8s] n=9 k=6 c=693   lin 4 -> nonempty  1 dirs: 1 confirmed, 0 unevaluable, 0 changed; wraps [663]
[ 7202.8s] n=9 k=6 c=691   lin 7 -> nonempty  20 dirs: 1 confirmed, 0 unevaluable, 19 changed; wraps [717]
[ 7225.3s] n=9 k=6 c=687   lin 6 -> nonempty  20 dirs: 20 confirmed, 0 unevaluable, 0 changed; wraps [569, 'multi-cube', 'multi-cube', 'multi-cube']
[ 7538.4s] n=9 k=6 c=681   lin 8 -> nonempty  21 dirs: 8 confirmed, 0 unevaluable, 13 changed; wraps [713, 713, 713, 713]
[ 7700.7s] n=9 k=6 c=673   lin 10 -> nonempty  35 dirs: 11 confirmed, 0 unevaluable, 24 changed; wraps [693, 'multi-cube', 'multi-cube', 693]
[ 7720.2s] n=9 k=7 c=1217  lin 2 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[ 7747.1s] n=9 k=7 c=1205  lin 4 -> nonempty  1 dirs: 1 confirmed, 0 unevaluable, 0 changed; wraps [713]
[ 7803.7s] n=9 k=7 c=1201  lin 4 -> nonempty  1 dirs: 0 confirmed, 0 unevaluable, 1 changed; wraps []
[ 7850.3s] n=9 k=7 c=1195  lin 4 -> nonempty  10 dirs: 3 confirmed, 0 unevaluable, 7 changed; wraps [715, 'multi-cube', 'multi-cube']
[ 7880.8s] n=9 k=7 c=1193  lin 4 -> nonempty  1 dirs: 1 confirmed, 0 unevaluable, 0 changed; wraps [1137]
[ 9061.1s] n=9 k=7 c=1187  lin 6 -> nonempty  3 dirs: 2 confirmed, 0 unevaluable, 1 changed; wraps [1209, 1209]
[ 9144.5s] n=9 k=7 c=1181  lin 6 -> nonempty  20 dirs: 3 confirmed, 0 unevaluable, 17 changed; wraps [701, 689, 701]
[ 9195.7s] n=9 k=7 c=1171  lin 6 -> nonempty  3 dirs: 3 confirmed, 0 unevaluable, 0 changed; wraps [691, 991, 695]
[ 9246.2s] n=9 k=8 c=1887  lin 3 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[10392.4s] n=9 k=8 c=1873  lin 6 -> nonempty  15 dirs: 3 confirmed, 0 unevaluable, 12 changed; wraps [1887, 1895, 'multi-cube']
[10392.4s] done: 80 classes
