
=== (2a) C2:2+2+2  (three full-quat C2 orbits + aligned starts) ===
    *** RECORD>699: D2:4+free2 total=705  seeds=[[1, 5, 5, 5], [1, 0, 0, 0], [1, 2, 3, 0]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[1, 5, 5, 5], [1, 0, 0, 0], [1, 2, 1, -1]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[8, 3, 3, 3], [1, 1, 1, 1], [5, 2, 2, 2]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[7, 3, 3, 3], [1, 1, 1, 1], [5, 2, 2, 2]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[8, 3, 3, 3], [-1, 1, 1, 1], [5, 2, 2, 2]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[8, 3, 3, 3], [1, -1, 1, 1], [5, 2, 2, 2]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[8, 3, 3, 3], [1, 1, -1, 1], [5, 2, 2, 2]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[8, 3, 3, 3], [1, 1, 1, -1], [5, 2, 2, 2]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[8, 3, 3, 3], [1, 1, 1, 1], [3, 2, 2, 2]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[8, 3, 3, 3], [1, 1, 1, 1], [2, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[8, 3, 3, 3], [1, 1, 1, 1], [3, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[7, 3, 3, 3], [1, 1, 1, 1], [3, 2, 2, 2]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[10, 3, 3, 3], [1, 1, 1, 1], [3, 2, 2, 2]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[8, 3, 3, 3], [-1, 1, 1, 1], [3, 2, 2, 2]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[8, 3, 3, 3], [1, -1, 1, 1], [3, 2, 2, 2]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[8, 3, 3, 3], [1, 1, -1, 1], [3, 2, 2, 2]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[8, 3, 3, 3], [1, 1, 1, -1], [3, 2, 2, 2]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[8, 3, 3, 3], [1, 1, 1, 1], [2, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[8, 3, 3, 3], [1, 1, 1, 1], [5, 2, 2, 2]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[7, 4, -3, 0], [1, 0, 0, 0], [2, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[7, 4, -3, 0], [-1, 0, 0, 0], [2, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[7, 4, -3, 0], [1, 0, 0, 0], [2, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[7, 4, -3, 0], [1, 0, 0, 0], [2, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[7, 4, -3, 0], [1, 0, 0, 0], [2, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[7, 4, -3, 0], [1, -1, 0, 0], [2, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[7, 4, -3, 0], [1, 1, 0, 0], [2, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[7, 4, -3, 0], [1, 0, -1, 0], [2, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[7, 4, -3, 0], [1, 0, 1, 0], [2, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[7, 4, -3, 0], [1, 0, 0, -1], [2, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[7, 4, -3, 0], [1, 0, 0, 1], [2, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[7, 4, -3, 0], [1, 0, 0, 0], [0, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[7, 4, -3, 0], [1, 0, 0, 0], [3, 1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[7, 4, -3, 0], [1, 0, 0, 0], [2, 0, 1, 1]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[7, 4, -3, 0], [1, 0, 0, 0], [2, 1, 0, 1]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[7, 4, -3, 0], [1, 0, 0, 0], [2, 1, 1, 0]]
  D2:4+free2       best= 717 evals=1358 restarts=25+120expl climb_r=2x10 (full-quat core AND free + aligned starts)

=== (2c) C6:6  (single full-quat orbit + aligned starts) ===
  C6:6             best= 649 evals=309 restarts=60+38expl climb_r=2x14 (full-quat + aligned starts, 4 DOF)
RESULT C2:2+2+2 677
RESULT D2:4+free2 717
RESULT C6:6 649
