census n=4 ensemble=axis shard=a0  (23185 already recorded) -> census_n4_axis_a0.jsonl
   15950 recorded, 0 unevaluable, 594.6/min
   16000 recorded, 0 unevaluable, 594.8/min
   16050 recorded, 0 unevaluable, 595.0/min
   16100 recorded, 0 unevaluable, 595.2/min
   16150 recorded, 0 unevaluable, 595.4/min
   16200 recorded, 0 unevaluable, 595.6/min
   16250 recorded, 0 unevaluable, 595.8/min
   16300 recorded, 0 unevaluable, 596.0/min
   16350 recorded, 0 unevaluable, 596.2/min
   16400 recorded, 0 unevaluable, 596.5/min
   16450 recorded, 0 unevaluable, 596.7/min
   16500 recorded, 0 unevaluable, 597.0/min
   16550 recorded, 0 unevaluable, 597.1/min
   16600 recorded, 0 unevaluable, 597.3/min
   16650 recorded, 0 unevaluable, 597.6/min
   16700 recorded, 0 unevaluable, 597.9/min
   16750 recorded, 0 unevaluable, 598.2/min
   16800 recorded, 0 unevaluable, 598.5/min
   16850 recorded, 0 unevaluable, 598.8/min
   16900 recorded, 0 unevaluable, 599.0/min
   16950 recorded, 0 unevaluable, 599.2/min
   17000 recorded, 0 unevaluable, 599.4/min
   17050 recorded, 0 unevaluable, 599.6/min
   17100 recorded, 0 unevaluable, 599.8/min
   17150 recorded, 0 unevaluable, 599.8/min
   17200 recorded, 0 unevaluable, 599.9/min
   17250 recorded, 0 unevaluable, 600.1/min
   17300 recorded, 0 unevaluable, 600.1/min
   17350 recorded, 0 unevaluable, 600.2/min
   17400 recorded, 0 unevaluable, 600.3/min
   17450 recorded, 0 unevaluable, 600.6/min
   17500 recorded, 0 unevaluable, 600.7/min
   17550 recorded, 0 unevaluable, 600.8/min
   17600 recorded, 0 unevaluable, 601.0/min
   17650 recorded, 0 unevaluable, 601.1/min
   17700 recorded, 0 unevaluable, 601.0/min
   17750 recorded, 0 unevaluable, 601.2/min
   17800 recorded, 0 unevaluable, 601.3/min
   17850 recorded, 0 unevaluable, 601.6/min
   17900 recorded, 0 unevaluable, 601.7/min
   17950 recorded, 0 unevaluable, 601.8/min
   18000 recorded, 0 unevaluable, 602.0/min
   18050 recorded, 0 unevaluable, 602.2/min
   18100 recorded, 0 unevaluable, 602.5/min
   18150 recorded, 0 unevaluable, 602.6/min
   18200 recorded, 0 unevaluable, 602.7/min
   18250 recorded, 0 unevaluable, 602.7/min
   18300 recorded, 0 unevaluable, 602.8/min
   18350 recorded, 0 unevaluable, 602.9/min
   18400 recorded, 0 unevaluable, 603.2/min
