1,0,0,0;-5,0,5,4;-5,-2,-1,5
1,0,0,0;-56,-35,16,31;-54,13,-3,51
1,0,0,0;-56,27,31,37;33,18,-31,-23
1,0,0,0;-57,-51,-46,56;-38,12,21,9
1,0,0,0;-6,-55,29,-20;44,19,34,7
1,0,0,0;0,-1,-1,-1;1,-1,-1,-1
1,0,0,0;0,-1,-1,-2;-2,0,1,1
1,0,0,0;0,-1,-1,-2;-2,1,-2,2
1,0,0,0;0,-1,-1,0;1,0,-1,-1
1,0,0,0;0,-1,-1,1;-1,-1,-1,-1
1,0,0,0;0,-1,-1,1;-1,0,-1,0
1,0,0,0;0,-2,-1,-1;1,0,-1,-2
1,0,0,0;0,-2,1,-2;1,-2,1,2
1,0,0,0;0,-3,-2,3;3,-3,0,3
1,0,0,0;0,-3,0,4;0,-2,-2,-2
1,0,0,0;0,0,-1,1;-1,0,1,0
1,0,0,0;0,0,-1,1;1,-1,0,1
1,0,0,0;0,0,-2,-1;0,3,0,1
1,0,0,0;0,0,0,1;-1,1,-1,1
1,0,0,0;0,0,0,1;0,0,1,-1
1,0,0,0;0,0,1,0;0,-1,1,1
1,0,0,0;0,1,-1,1;0,0,-1,1
1,0,0,0;0,1,0,0;1,1,-1,-1
1,0,0,0;0,1,1,1;-1,-1,0,3
1,0,0,0;0,1,1,1;1,-1,1,-1
1,0,0,0;0,1,2,-3;3,-2,0,1
1,0,0,0;0,1,2,0;1,1,1,2
1,0,0,0;0,2,-2,-1;1,1,-1,-2
1,0,0,0;0,2,-2,1;-2,-1,-2,1
1,0,0,0;0,3,-1,1;2,-1,-1,0
1,0,0,0;0,3,1,1;3,-2,0,1
1,0,0,0;0,3,3,0;0,-3,0,1
1,0,0,0;1,-1,-1,-1;-1,-1,1,-1
1,0,0,0;1,-1,0,-1;1,-1,0,-1
1,0,0,0;1,-1,1,-1;-1,1,1,1
1,0,0,0;1,-1,1,-1;1,-3,-3,0
1,0,0,0;1,-1,1,1;-1,-2,1,2
1,0,0,0;1,-1,3,2;1,2,-2,1
1,0,0,0;1,-2,-3,-4;0,-1,2,-4
1,0,0,0;1,-2,0,0;4,0,-6,0
1,0,0,0;1,0,-1,1;-1,-1,1,-1
1,0,0,0;1,0,0,-5;5,-2,0,0
1,0,0,0;1,0,0,1;0,-1,1,0
1,0,0,0;1,0,1,1;-1,-1,0,0
1,0,0,0;1,1,1,2;-2,2,2,-2
1,0,0,0;1,1,1,3;-2,-2,2,2
1,0,0,0;1,1,2,1;0,2,1,0
1,0,0,0;1,1,3,-3;-2,1,5,5
1,0,0,0;1,2,-2,-1;-1,0,0,2
1,0,0,0;1,2,0,0;1,-2,4,-3
1,0,0,0;1,2,0,0;6,1,0,0
1,0,0,0;1,2,1,3;3,-1,0,-1
1,0,0,0;1,2,2,1;3,-3,0,0
1,0,0,0;1,3,-5,-2;5,1,-5,-4
1,0,0,0;1,3,1,-1;-1,2,0,3
1,0,0,0;1,3,1,-3;0,-3,2,-2
1,0,0,0;1,4,0,0;5,-3,0,0
1,0,0,0;11,39,22,56;-14,-19,24,1
1,0,0,0;14,14,16,16;16,-15,-17,16
1,0,0,0;14,14,18,18;16,-14,-16,17
1,0,0,0;14,15,17,17;18,-18,-15,16
1,0,0,0;14,15,18,17;14,-14,-15,15
1,0,0,0;14,18,15,14;18,-14,-15,14
1,0,0,0;14,18,18,15;16,-17,-17,16
1,0,0,0;14,41,32,-30;19,-42,-54,-21
1,0,0,0;15,14,17,14;17,-14,-18,18
1,0,0,0;15,18,16,17;15,-18,-16,18
1,0,0,0;16,14,17,16;16,-16,-15,15
1,0,0,0;16,15,15,18;16,-16,-16,18
1,0,0,0;16,15,16,14;16,-17,-18,17
1,0,0,0;16,16,15,18;16,-17,-17,18
1,0,0,0;16,18,15,16;15,-14,-16,14
1,0,0,0;17,14,15,18;15,-14,-17,15
1,0,0,0;17,14,18,14;18,-16,-14,18
1,0,0,0;17,15,15,16;14,-17,-16,16
1,0,0,0;17,15,18,17;14,-15,-18,18
1,0,0,0;17,17,14,15;15,-16,-18,15
1,0,0,0;17,17,14,16;14,-16,-14,17
1,0,0,0;17,18,15,15;17,-14,-18,14
1,0,0,0;17,18,16,16;18,-18,-17,14
1,0,0,0;17,18,17,15;16,-14,-17,14
1,0,0,0;17,18,18,14;15,-17,-15,17
1,0,0,0;17,18,18,17;16,-15,-15,17
1,0,0,0;18,14,17,14;17,-17,-17,16
1,0,0,0;2,-1,-1,2;-1,-2,1,0
1,0,0,0;2,-1,0,0;2,1,1,1
1,0,0,0;2,-1,1,-1;0,-2,-1,0
1,0,0,0;2,-2,-3,2;3,3,3,2
1,0,0,0;2,-3,-2,-2;0,-3,-1,1
1,0,0,0;2,0,-1,-1;-1,1,0,-2
1,0,0,0;2,0,0,0;2,-2,-1,0
1,0,0,0;2,0,3,1;1,-2,1,-2
1,0,0,0;2,1,0,-2;0,0,-1,2
1,0,0,0;2,1,1,1;0,0,0,3
1,0,0,0;2,2,2,-1;1,-1,-2,1
1,0,0,0;2,2,3,1;1,-3,0,1
1,0,0,0;2,3,-1,3;1,-3,-3,2
1,0,0,0;2,3,-3,-3;-2,-2,-2,-3
1,0,0,0;2,3,0,-1;1,-1,-3,1
1,0,0,0;2,3,0,0;1,0,0,-6
1,0,0,0;2,3,2,0;3,-1,0,3
1,0,0,0;2,3,4,4;-5,1,2,1
1,0,0,0;2,3,6,3;4,-3,-2,4
1,0,0,0;2,4,4,4;6,-3,-4,5
1,0,0,0;2,5,5,3;4,-2,-6,5
1,0,0,0;2,6,5,3;6,-4,-4,2
1,0,0,0;2,9,-32,49;14,17,3,-27
1,0,0,0;24,46,16,40;-2,-53,-20,-8
1,0,0,0;27,6,35,8;-38,16,39,38
1,0,0,0;3,-1,-1,2;3,-3,-1,1
1,0,0,0;3,-1,2,1;-1,1,-3,2
1,0,0,0;3,0,0,1;3,0,-3,0
1,0,0,0;3,0,0,6;2,-3,0,0
1,0,0,0;3,0,1,0;2,0,0,-5
1,0,0,0;3,0,3,2;3,1,-2,2
1,0,0,0;3,1,-2,-1;3,-2,1,1
1,0,0,0;3,1,2,3;1,0,-1,0
1,0,0,0;3,2,1,2;-2,1,-2,3
1,0,0,0;3,2,3,2;5,-3,-6,4
1,0,0,0;3,2,3,3;3,-6,-4,4
1,0,0,0;3,2,6,5;6,-3,-5,4
1,0,0,0;3,3,2,2;1,-3,-3,1
1,0,0,0;3,3,5,2;5,-2,-6,2
1,0,0,0;3,4,-4,5;2,5,-4,3
1,0,0,0;3,5,0,3;5,-2,-4,2
1,0,0,0;3,6,4,6;6,-6,-5,6
1,0,0,0;35,-55,-60,-30;-8,53,7,-42
1,0,0,0;36,37,16,-43;-42,35,-2,6
1,0,0,0;38,-28,40,31;41,32,-30,-27
1,0,0,0;39,-27,37,15;3,-49,23,45
1,0,0,0;4,-2,3,4;0,-1,-1,-4
1,0,0,0;4,-5,-4,4;-4,-2,-1,2
1,0,0,0;4,-5,0,0;3,0,0,6
1,0,0,0;4,0,0,-6;6,0,0,0
1,0,0,0;4,0,0,1;2,-6,0,0
1,0,0,0;4,2,3,2;5,-3,-6,5
1,0,0,0;4,4,5,2;6,-4,-3,2
1,0,0,0;4,5,-5,1;-3,1,2,-3
